onset	duration	trial_type	response
0.0229	8.8226	p_startup	other
8.8621	0.4226	grid	other
9.2848	1.5226	6_dots	other
10.8074	3.0226	maintenance	other
15.2847	1.0226	response	miss
16.324	0.4226	grid	other
16.7466	1.5226	2_dots_control	other
18.2692	3.0226	maintenance	other
22.7466	2.0226	response	miss
24.7859	0.4226	grid	other
25.2085	1.5226	2_dots	other
26.7311	3.0226	maintenance	other
31.2085	3.0226	response	miss
34.2477	0.4226	grid	other
34.6703	1.5227	4_dots	other
36.193	3.0226	maintenance	other
40.6703	2.0226	response	miss
42.7096	0.4226	grid	other
43.1322	1.5226	6_dots_control	other
44.6548	3.0226	maintenance	other
49.1322	1.5226	response	miss
50.6714	0.4226	grid	other
51.094	1.5226	4_dots	other
52.6166	3.0226	maintenance	other
57.094	1.0226	response	miss
58.1333	0.4226	grid	other
58.5559	1.5226	4_dots_control	other
60.0785	3.0226	maintenance	other
64.5559	1.5226	response	miss
66.0952	0.4226	grid	other
66.5178	1.5226	6_dots_control	other
68.0404	3.0226	maintenance	other
72.5178	2.5226	response	miss
75.057	0.4226	grid	other
75.4796	1.5226	4_dots_control	other
77.0022	3.0226	maintenance	other
81.4796	3.5226	response	miss
85.0189	0.4226	grid	other
85.4415	1.5226	6_dots_control	other
86.9641	3.0226	maintenance	other
91.4415	4.5226	response	miss
95.9808	0.4226	grid	other
96.4034	1.5226	2_dots	other
97.9259	3.0226	maintenance	other
102.4034	1.5226	response	miss
103.9426	0.4226	grid	other
104.3652	1.5226	4_dots	other
105.8878	3.0226	maintenance	other
110.3652	3.0226	response	miss
113.4045	0.4226	grid	other
113.8271	1.5226	4_dots_control	other
115.3497	3.0226	maintenance	other
119.8271	2.0226	response	miss
121.8663	0.4226	grid	other
122.2889	1.5226	6_dots	other
123.8115	3.0226	maintenance	other
128.2889	1.5226	response	miss
129.8282	0.4226	grid	other
130.2508	1.5226	2_dots	other
131.7734	3.0226	maintenance	other
136.2508	4.0226	response	miss
140.2901	0.4226	grid	other
140.7127	1.5226	2_dots_control	other
142.2353	3.0226	maintenance	other
146.7127	2.0226	response	miss
148.7519	0.4226	grid	other
149.1745	1.5226	2_dots	other
150.6971	3.0227	maintenance	other
155.1745	3.0226	response	miss
158.2138	0.4226	grid	other
158.6364	1.5226	6_dots	other
160.159	3.0226	maintenance	other
164.6364	1.0226	response	miss
165.6756	0.4226	grid	other
166.0982	1.5226	2_dots	other
167.6208	3.0226	maintenance	other
172.0982	3.5226	response	miss
175.6375	0.4229	grid	other
176.0604	1.5226	2_dots	other
177.583	3.0226	maintenance	other
182.0601	2.5226	response	miss
184.5994	0.4217	grid	other
185.0211	1.5226	4_dots_control	other
186.5437	3.0226	maintenance	other
191.022	5.5226	response	miss
196.5612	0.4226	grid	other
196.9838	1.5226	4_dots	other
198.5064	3.0226	maintenance	other
202.9838	1.5226	response	miss
204.5231	0.4226	grid	other
204.9457	1.5226	6_dots_control	other
206.4683	3.0226	maintenance	other
210.9457	5.0228	response	miss
215.9852	0.4226	grid	other
216.4078	1.5226	6_dots	other
217.9304	3.0226	maintenance	other
222.4078	6.0226	response	miss
228.4471	0.4226	grid	other
228.8696	1.5226	4_dots_control	other
230.3922	3.0226	maintenance	other
234.8696	2.0226	response	miss
236.9089	0.4226	grid	other
237.3315	1.5226	2_dots_control	other
238.8541	3.0226	maintenance	other
243.3315	1.5226	response	miss
244.8708	0.4226	grid	other
245.2934	1.5226	6_dots	other
246.816	3.0226	maintenance	other
251.2934	4.0226	response	miss
255.3326	0.4226	grid	other
255.7552	1.5226	6_dots_control	other
257.2778	3.0226	maintenance	other
261.7552	6.0226	response	miss
267.7945	0.4226	grid	other
268.2171	1.5226	4_dots	other
269.7397	3.0226	maintenance	other
274.2171	3.0226	response	miss
277.2563	0.4226	grid	other
277.6789	1.5226	6_dots	other
279.2015	3.0226	maintenance	other
283.6789	4.0226	response	miss
287.7182	0.4226	grid	other
288.1408	1.5226	2_dots_control	other
289.6634	3.0226	maintenance	other
294.1408	3.5226	response	miss
297.6801	0.4226	grid	other
298.1027	1.5226	2_dots_control	other
299.6253	3.0226	maintenance	other
304.1026	1.5226	response	miss
305.6419	0.4226	grid	other
306.0645	1.5226	4_dots_control	other
307.5871	3.0226	maintenance	other
312.0645	2.0226	response	miss
314.1038	0.4226	grid	other
314.5263	1.5226	2_dots_control	other
316.0489	3.0226	maintenance	other
320.5264	5.5226	response	miss
326.0656	0.4226	grid	other
326.4882	1.5226	2_dots	other
328.0108	3.0226	maintenance	other
332.4882	6.014	response	miss
338.5189	0.4226	grid	other
338.9415	1.5226	6_dots_control	other
340.4641	3.0226	maintenance	other
344.9415	3.0226	response	miss
347.9808	7.4261	Bfix	other
